consensus,Player Name,Position,College,draft_year,gsis_id,round,pick,max_pick,below_consensus,beast_school,beast_grade,beast_rank,beast_summary,beast_strengths,beast_weaknesses,pff_overview,pff_pros,pff_cons,pff_bottom_line,pff_extra,br_positives,br_negatives,br_article_grade,br_overall_rank,br_position_rank,br_pro_comparison,sc_APY,sc_rank_on_date_APY,sc_contract_type,sc_date_signed,sc_years,draft_value,sc_tier,sc_rank,draft_tier,sc_contract_tier,ht_in,wt_lbs,arm_in,hand_in,wing_in,dash40,vj_in,bj_in,shuttle,cone3,bench,z_ht_in,z_wt_lbs,z_arm_in,z_hand_in,z_wing_in,z_dash40,z_vj_in,z_bj_in,z_shuttle,z_cone3,z_bench
1,Myles Garrett,EDGE,Texas A&M,2017,00-0033868,1.0,1,253,0,,,,,,,,,,,,,,,,,,25000000.0,1.0,Extension,2020-07-16,5.0,0,real_contract,1.0,consensus,cornerstone,,,,,,,,,,,,,,,,,,,,,,
2,Solomon Thomas,DL,Stanford,2017,00-0033870,1.0,3,253,-1,,,,,,,"Thomas was dominant this season as shown by his No. 1 run-defense grade (92.0) and No. 6 pass- rushing grade (86.9) among interior defensive linemen. Thomas has been highly productive the last two seasons but has followed a natural skill development progression as he was first a solid run defender and then made an ever-increasing contribution as a pass-rusher. Thomas’s pass-rushing productivity rating of 8.7 ranked No. 5 among Power-5 defensive tackles. Thomas has experience playing in the interior of the defensive line but only weighs 270 pounds so he isn’t exactly the ideal size to play inside in the but his experience inside and his proven ability to hold up makes him an ideal candidate to play base defensive end and then a player who can shift inside to defensive tackle in sub- package situations. If nickel is the new base, then Thomas’ ability to stop the run plus rush the passer from inside or outside will make him a highly coveted player in the draft. : Base defensive end and sub-package defensive tackle","Elite run defender who uses strength to shed blockers easily Can generate pass-rush from the edge or the interior of the defensive line Wins as a pass-rusher with both power and speed Greatly improved as a pass-rusher in 2016 and saw his pass-rush production nearly double Pass-rush productivity of 9.0 ranks No. 16 among DTs in draft class 10 sacks, 12 hits and 22 hurries on 394 pass-rush snaps Moves quickly up and down the line of scrimmage in the run game Showed the ability to take on and shed all types of blocks in the run game Great feel for “back” blocks on “power” plays. Often disrupted plays two gaps away Has the quickness to attack one-gap and the ability to locate and shed to play two-gaps Good quickness into gaps on stunts, strong leg drive to bull-rush larger opponents Held up well as an undersized nose tackle in Stanford’s scheme. Anchors well when losing on first contact","Doesn’t have ideal size for an NFL defensive tackle at only 273 pounds Only one season of top pass-rushing production Can get overpowered by double teams and moved off the LOS, particularly on the front side of “power” plays May not have a true position. Most of his snaps came inside so he lacks reps outside the tackle where he is most likely to play on base downs.",,,,,,,,,2250000.0,64.0,UFA,2022-03-30,1.0,-1,real_contract,64.0,consensus,53_man,,,,,,,,,,,,,,,,,,,,,,
3,Jamal Adams,S,LSU,2017,00-0033872,1.0,6,253,-3,,,,,,,,,,,,,,,,,,17500000.0,1.0,Extension,2021-08-17,4.0,-3,real_contract,1.0,consensus,cornerstone,,,,,,,,,,,,,,,,,,,,,,
4,Leonard Fournette,RB,LSU,2017,00-0033856,1.0,4,253,0,,,,,,,,,,,,,,,,,,2000000.0,34.0,SFA,2020-09-08,1.0,0,real_contract,34.0,consensus,53_man,,,,,,,,,,,,,,,,,,,,,,
5,Marshon Lattimore,CB,Ohio State,2017,00-0033874,1.0,11,253,-6,,,,,,,,,,,,,,,,,,19400000.0,3.0,Extension,2021-09-13,5.0,-6,real_contract,3.0,consensus,cornerstone,,,,,,,,,,,,,,,,,,,,,,
6,Malik Hooker,S,Ohio State,2017,00-0033877,1.0,15,253,-9,,,,,,,,,,,,,,,,,,920000.0,139.0,SFA,2021-07-27,1.0,-9,real_contract,139.0,consensus,53_man,,,,,,,,,,,,,,,,,,,,,,
7,Jonathan Allen,DL,Alabama,2017,00-0033523,1.0,17,253,-10,,,,,,,"Allen is an appealing player for any defense regardless of scheme, especially given his ability to rush the passer and play the run on the interior. His best fit on early downs may be as a base defensive end that is capable of setting a strong edge in the run game and creating mismatches against tight ends while working inside in nickel and dime situations. Regardless of role, Allen has three-down potential at the next level and he’s one of the best players in the draft.","Explodes into blockers and controls the line of scrimmage Will stay square, work down the line of scrimmage in the run game Has the power to push the pocket as a pass-rusher. Can compress pocket from interior or off the edge Has quickness and hands to win on the inside against guards, versatile skillset allows him to rush passer from many different positions Relentless with his hands, will pick up late pressures Rarely loses on first contact against opposing blockers Had few opportunities to play 6-tech, but would likely be dominant run defender as base DE At his best when engaging and using his hands to shed blocks After playing only 401 snaps in 2015, Allen showed that he can handle more of a full-time role in 2016, playing 746 snaps while excelling both against the run and as a pass-rusher","Lets blockers get into his pads and gets buried every now and then (Will powerful NFL guards have run game success?) When he does lose on first contact, can get engulfed Not as disruptive when shooting gaps, better at engaging blockers and using his hands to win",,,,,,,,,,,,,,-10,out_of_league,,consensus,out_of_league,,,,,,,,,,,,,,,,,,,,,,
8,Mitchell Trubisky,QB,North Carolina,2017,00-0033869,1.0,2,253,6,,,,,,,"Despite being a one-year starter, Trubisky is very polished as a passer playing with good balance and consistent mechanics, which leads him to throw with great accuracy in the short/intermediate passing game. Although he comes from a version of the spread in his college offense, he was asked to do manyfull field progressions and showed he can click from receiver to receiver quickly and efficiently. Has very good pocket instincts and ability to keep eye level up to see receivers down the field while moving within the pocket. His three-quarters release may lead to more batted balls at the LOS but is likely not a huge issue at the next level. Will need to work on hitting his deep shots with more consistent accuracy to keep defenses from sitting at the break point. Shows all of the tools to develop into a very solid NFL starting quarterback and appears to be the safest option of the 2017 quarterback draft class.","Compact, accurate, quick arm with a three-quarters release. Quick release allows him to get rid of the ball even when under heavy pressure. Polished passer with consistent footwork and mechanics. Athletic within and outside the pocket. Very accurate throwing on the move. Anticipates well on timing routes as well as windows in zone coverage. Quick-minded and reacts quickly from the time he sees it to time of release. Discipline with his reads and shows ability to scan the field in full field progressions. Natural feel and instincts in the pocket. Consistently accurate ball placement in the short passing game maximizing catch and run opportunities. Has the arm to drive the ball outside the numbers. Consistently hits the “cover-2” hole in between the cornerback and the safety, much more often than most college quarterbacks. Values the ball and is a good decision maker.",One-year starter with limited amount of game tape. Inconsistent deep ball touch. Ball hangs and forces receivers to adjust too often. Poor blitz recognition at times leaving him surprised where defenders are coming from post snap. Feet/mind can start to move too quickly under pressure leading to inaccuracies. Can get stuck on the spot in the pocket with feet bouncing instead of pushing up in the pocket. Will overstride getting too long resulting in lost power at times when needing to drive the ball downfield. 50.0,,,,,,,,,2500000.0,41.0,UFA,2021-03-22,1.0,6,real_contract,41.0,consensus,53_man,,,,,,,,,,,,,,,,,,,,,,
9,OJ Howard,TE,Alabama,2017,00-0033879,1.0,19,253,-10,,,,,,,"What he does best: Howard may end up being a better pro than he was a college player based on opportunity alone. He • Athletic mismatch as a receiver. Big enough to take advantage of smaller defensive backs and both has the size, speed, hands and feel to be effective in the passing game while doubling as a strong run- fast and quick enough to create separation against linebackers. blocker if placed in the right scheme. Howard’s ability to create mismatches in the passing game will make him an early target and potential Day 1 starter. • Especially dangerous when matched up against off-coverage safeties. Can use both his size and speed to create leverage and keep safety off balance.• Doesn’t always take great angles when setting up for screen blocks when lined up out wide on wide receiver screens. • Question his ability to quickly locate his assignment on pull blocks. • At times relies too much on DT help with combo blocks, if help has to bail he’s left in a bad position. • Questionable ability in pass protection. Only allowed one pressure this season, but asked to stay in and block less (15.8 percent in 2016 vs 20.2 in 2015) after surrendering six pressures on just 85 pass- blocking snaps in 2015. Will get overpowered by more explosive NFL edge defenders and may be susceptible to inside moves. Player comparison: success in the trenches may rely more on scheme and fit.","Athletic mismatch as a receiver. Big enough to take advantage of smaller defensive backs and both has the size, speed, hands and feel to be effective in the passing game while doubling as a strong run- fast and quick enough to create separation against linebackers. blocker if placed in the right scheme. Howard’s ability to create mismatches in the passing game will make him an early target and potential Day 1 starter. Especially dangerous when matched up against off-coverage safeties. Can use both his size and speed to create leverage and keep safety off balance. Effective at finding holes in zone coverage, strong working between layers of coverage. Good concentration as a receiver, can see ball through muddied underneath coverage and reacts wells to tipped balls. Nice post-catch burst. Sure hands. Had just six total drops over the last three seasons, with three of those drops coming in 2014. Graded positively as a run-blocker each season since 2014, had highest run-blocking grade among all tight ends in 2016. Looks to finish blocks, very tough for smaller defenders to shed once engaged. Makes sure play is past him before letting up. Very effective on frontside of outside zone runs. Quick enough out of the snap to execute reach blocks, works well off combos and is effective moving up into the second level. Earned 11 positive grades this season while blocking on outside zone versus zero negative grades. Doesn’t just blindly dive on cut blocks. Appears to consciously seek out the defenders legs, will take an extra step on his lunge if need be. Great downfield lead blocker. Takes good angles, athletic enough to stay in front of the run and bullies smaller defensive backs.","Underused as a pass-catcher in Alabama’s scheme. Can he live up to the hype at the next level? As good as he is on the front-side of outside zone runs, lacks the strength to consistently seal off edge defenders with front-side down-blocks on power runs.",,,,,,,,,3500000.0,28.0,UFA,2022-03-18,1.0,-10,real_contract,28.0,consensus,53_man,,,,,,,,,,,,,,,,,,,,,,
10,Christian McCaffrey,RB,Stanford,2017,00-0033280,1.0,8,253,2,,,,,,,"McCaffrey has shown the last two years that he is capable of being a lead back in addition to a receiverand punt and kick returner. McCaffrey is equally at home at running back or at slot receiver so his future in the NFL will be closely tied to his usage and the specific role his coaching staff has in mind when they draft him. McCaffrey’s combination of agility, acceleration, open-field running ability and versatility will make him an asset to any team.","Elite change-of-direction and open-field running ability leads to missed tackles and big plays. Tremendous acceleration, can get to full speed in a hurry. Leg strength and balance to gain yards after initial contact, 3.30 yards after contact per attempt. Can make cuts with little loss of speed, causing second-level defenders to miss badly. Vision and patience to set up blocks, effective running with or without a lead blocker. Experience running in man/gap scheme at Stanford and cutting ability to run zone scheme. Can be used heavily in the pass game either running routes out of the backfield or the slot. Mismatch in the pass game as he is too fast for linebackers to cover. Versatility could allow an offensive coordinator to be very creative with his personnel groupings & alignments. Has the rare ability to take games over. Dangerous as both a kick and punt returner.","A lot of carries and a lot of hits the last two years (745 combined touches). Could get lost in the mix if he goes to a team that is unwilling to be creative and tap into his versatile skillset. Slowed by injuries a bit in 2016. Needs to improve as a pass protector (surrendered 1 sack, 1 hit, 2 hurries in 2016). 50 drop rate ranked No. 51 among FBS running backs. Some teams may view him skipping the Sun Bowl negatively.",,,,,,,,,16015853.0,1.0,Extension,2020-04-16,4.0,2,real_contract,1.0,consensus,cornerstone,,,,,,,,,,,,,,,,,,,,,,
