"","first_name","last_name","height","weight","position","profile","strengths","weaknesses","player","bottom_line"
"1","Carter","Bradley","6'2”","221","Quarterback","Bradley possesses a nice arm with clean mechanics. He made a few pretty deep passes over the past two years, mostly outside the numbers. His fundamentals allow him to maximize his arm talent, which is average for the NFL level. His athleticism allows him to scramble and pick up first downs. He also is not afraid to step up in the pocket. His game starts to fall off when he is asked to throw with touch on short or intermediate throws; his mechanics break down and he looks uncomfortable. He also tends to lock onto his primary read. Bradley's smaller hands also impact ball security and ball placement. ","Won't be a dual threat, but can pick up yards with his legs when not accounted for Arm strength is average for the NFL. Throws with solid velocity thanks to a compact, clean motion. Tape contains a handful of very impressive deep throws from 45-55 yards over the past two years. Not afraid to step up in the pocket, even if he's taking a hit. ","Has to put his whole body into throwing the fastball. Feels the need to always throw the fastball. Lacks touch when the situation calls for it. Smaller hands lead to some ball security issues. Struggles with the natural feel for touch passes. Mechanics break down when he tries to take speed off. Sometimes gets tunnel vision during his progressions. ","Carter Bradley","Bradley is an intriguing prospect with a decent arm, an encouraging play style and good mechanics. How quickly he can learn to read NFL defenses and how much he can improve on touch throws is his key to locking down a preferred backup spot."
"2","Jayden","Daniels","6'4”","210","Quarterback","Daniels' scouting report starts with his mobility. His success on RPOs and when scrambling means the defense has to account for his legs at all times. As for his passing, he is a very fundamentally sound thrower with light footwork, fluid hips and a repeatable follow-through. This, plus his overall arm talent, yields adequate velocity to all three levels. His touch in and out of structure has the potential for big plays. He is still speeding up his processing, which resulted in a high sack rate over the years, and he needs to protect himself more when tucking to run. ","Legitimate rushing threat. He has adequate arm talent for all three levels of the field. Has decent velocity for middle-of-the-field throws, though distance is more impressive than velocity. Fundamentally sound throws from his feet to his follow-through. Excellent escapability to extend plays and beat blitzes — forces defenders to keep a spy. ","Just one season of high-level production He needs to slide and avoid hits more often Velocity is just adequate Pocket presence is still a work in progress — very high sack rate. Processing speed did improve in 2023, but he is still a tick slow. Accuracy and ball placement can be inconsistent, but it stems from being a little late to see than a lack of talent. ","Jayden Daniels","Daniels' rushing ability and fundamentals give him a high floor as a player who can put a ton of stress on a defense. His arm talent is adequate to give him a decently high ceiling and makes him a worthy first round bet to make."
"3","Sam","Hartman","6'1”","211","Quarterback","Hartman's arm talent is well below average. His lack of arm strength requires his receivers to earn the kind of separation that just doesn't typically exist in the NFL. He has to put his entire body into throws beyond 45-50 yards, and when throwing off-platform, he does not have the upper body strength to put adequate velocity on passes. He can be accurate when throwing in rhythm and on schedule, but even then, he is limited, as he cannot consistently attack the intermediate middle of the field due to his lack of velocity. ","Added mobility to be a decent RPO threat. Feet are light and bouncy. Can hang tough in the pocket and go through progressions when his protection allows it. ","Does not have the height or the arm strength to attack over the middle of the field. He has to put his whole body into throws beyond 45 yards. Throws on his toes often due to lack of height. Off-platform throws have well below average velocity. ","Sam Hartman","Hartman is an experienced quarterback with some decent mobility, but overall, he lacks the arm strength to become a starter or preferred backup in the NFL."
"4","Devin","Leary","6'1”","215","Quarterback","Leary shows consistent technique in his throwing motion and footwork for some pretty passes. He is light on his feet and does a decent job of establishing a strong base to throw. Overall, his arm talent is adequate, as he does show the required velocity for hole shots versus Cover 2 in addition to tight-window passes over the middle of the field. Despite consistent mechanics, Leary's true ball placement is lacking. His accuracy also dips when he is moved off his spot and out of the pocket. When it comes to reading a defense, he struggles to see the whole picture against zone and puts the ball in harm's way too often. ","Adequate arm strength for the NFL level. Has the velocity to hit outside throws. Clean throwing mechanics. Light on his feet and understands how to reset his base to throw. Willing to hang tough in the pocket under pressure. ","Inconsistent ball placement, even within the offense's structure. Accuracy really dips when he is moved off his spot. Not afraid to let it loose down the sideline, but he just doesn't hit them enough. Struggles to see the whole picture of zone coverage — puts the ball in harm's way. Locks in on primary read too often. ","Devin Leary","Leary is a soothing, under-control passer with reliable mechanics, but his lack of playmaking ability and accuracy when things break down limits his ceiling."
"5","Drake","Maye","6'4”","223","Quarterback","Maye's scouting reports start with his superb arm talent. He has a quick trigger to get the ball out of his hand fast. That comes with a lot of velocity to rip throws of any distance through tight coverage. His out-of-structure accuracy and touch are top-tier but can be inconsistent, which leads to Maye's biggest issue: ball placement. It doesn't seem to be a glaring footwork or motion issue, but he just simply misses throws at times. He has plus mobility and is experienced at attacking the middle of the field. He is also willing to go through progressions in a spread formation but is still improving on where to look and when. ","Light on his feet — always bouncing and ready to pivot to progressions, throw or take off. Powerful flick of the wrist leads to good velocity. Has speed for escapability and scrambles. Capable of impressive out-of-structure accuracy. Experienced middle-of-the-field passer. Already well-versed in the pump fake to fool defenders. ","There are times when he just misses, which can be due to a lack of fundamentals, but sometimes he just misses throws of varying distances. Fully capable and willing to read the full field, but he is still working on where to look and when. ","Drake Maye","Maye's arm talent alone puts him in the first-round and top-10 conversation. Though his ball placement and decision-making (including sacks taken) need improvement, he has all the talent tools you want to bet on as a franchise QB."
"6","J.J.","McCarthy","6'3”","219","Quarterback","McCarthy comes from a pro-style offense. As a first-time starter in 2022, he struggled to get off his primary read, fell for sim pressures and didn't have good instincts when pressured. In 2023, all of that improved, though that improvement needs to continue. His arm talent is good, both for velocity and natural accuracy. However, he does need to continue to get stronger to get his arm talent to an NFL level. His throwing motion is clean and efficient, from his footwork to his follow-through. You won't build a rushing attack around his mobility, but he is a good athlete who is a threat on RPOs and scramble plays. ","Good, clean throwing motion. He has good arm talent but needs to continue to get stronger and put on weight to maximize it. Added mobility. Not afraid of tight-window throws, including over the middle. No reservations about throwing to the middle of the field. He can hang tough in the pocket. ","Slender build — he must continue to get stronger He can get locked onto his primary reads. His decision-making took a step forward in 2023, but it needs to become more consistent, especially pre-snap. ","J.J. McCarthy","McCarthy is not a finished product, but he is a growing quarterback with experience in a pro-style offense and good tools (physical and mental) to be a starting QB in the NFL."
"7","Joe","Milton III","6'5”","235","Quarterback","Milton is as physically gifted as they come at 6-foot-5 and 235 pounds with good mobility and a cannon of an arm. He operates almost exclusively from the shotgun in Vol’s wide formation vertical offense. His trump card is his arm talent. He is also useful in the power/RPO run game. However, he still has a ways to go as a passer before becoming a potential NFL starter. His feet are heavy and can stop moving when he's scanning the field. He also tends to get tunnel vision on primary reads and fails to move on in his progressions. His accuracy when throwing the fastball can be good, but his overall ball placement with touch is far too inconsistent. ","Rocket launcher of an arm — he will have one of the strongest arms in the league when he gets drafted. Can contribute to the power/RPO run game immediately. Confident throwing outside the numbers, especially intermediate/deep. ","Feet can sometimes stop moving as he scans the field. Accuracy can be serviceable, but true ball placement is low/late —his feet play a role in this. Accuracy falters when throwing with touch. Locks on to his primary reads often. Gets tunnel vision when scanning the field — loses timing of progressions and can sometimes not feel pressure around him. ","Joe Milton III","Milton has NFL-level tools but lacks the processing, instincts and accuracy to be considered a potential starter in his current state."
"8","Bo","Nix","6'2”","214","Quarterback","Some see Nix's age as a negative, but it has made him one of the more knowledgeable QB prospects with a better pre-snap understanding of defenses than most QBs. When the ball comes out of his hands, it has a consistent pace with good control. His pocket presence is good, but he could stand to climb the pocket more instead of fading away. He is an above-average athlete for the position and is always a threat to keep an RPO or scramble. As a passer, he is also accurate out of structure. He gets in trouble due to his footwork, as his feet are not as light as they could be. His knack for avoiding negative plays, including sacks, is top of the class. ","Arm strength is adequate for the NFL level. Mobility is definitely a plus to his game. Good feel for the pocket/pressure and where to go with the ball afterward. Does well to avoid negative throws and not take sacks — smart player. ","He has a bad habit of fading away when he doesn't need to. His feet aren't always married with his upper body. Sometimes they are too heavy, which is when his accuracy can dip I don't mind the quick-pass offense, but he does rely on the first read too often. He could stand to climb the pocket more. ","Bo Nix","Nix's experience manifests in the form of pre-snap reads, play under pressure and avoiding negatives. His footwork needs to be more disciplined, and he will take some time to really read progressions better in the NFL. However, he is a QB with starting-caliber tools in his arm and his legs, and he comes with added out-of-structure playmaking."
"9","Michael","Penix Jr.","6'2”","216","Quarterback","Penix has been a productive quarterback in Washington's Air Raid system over the last two years. He shows off NFL-caliber distance and velocity on a variety of different throws, mostly outside the numbers. Penix can attack the intermediate middle of the field, but it is not as natural. He also tends to throw with power too much. He can be a tick late on timing his throws, opting to put more juice on passes rather than more air underneath. This lends itself to a lack of consistent ball placement. He also opts for the bigger throws and not as many ""layups"" even when available. ","Has starting-caliber NFL arm strength in distance and velocity. No hesitation to give his players a deep shot. Strong sideline thrower — most of his production comes from throws outside the numbers. ","Long arms require a longer/sidearm windup. Does not always throw with a strong base — sometimes, he’s pushing the ball with all upper body strength. Completion rate is fine, but true ball placement is inconsistent. Little volume or success over the intermediate middle of the field. Flamethrower arm strength leads to too much heat on his throws, at times — he could stand to use more timing and touch. ","Michael Penix Jr.","Penix Jr. has an NFL-level arm talent in addition to two years of good health and top-tier production in a spread-out shotgun offense. However, to become a consistent starter and top-15 quarterback in the league, he will need to clean up his footwork, throw with more anticipation and touch (which will improve ball placement), as well as be willing to attack the middle of the field."
"10","John","Plumlee","6'1”","185","Quarterback","Plumlee is a great athlete for the position. He is agile, balanced and explosive enough to be a legit threat in an RPO offense. He can escape the pocket well, but his college passing grade when scrambling wasn't stellar. That stems from his lacking size at the position in height, weight and hand size. That combination will seriously limit his arm talent in the NFL. Even on clean passes, the ball wobbles to his target due to a lack of grip. Ole Miss' and UCF's offenses also did not ask him to go through progressions and read the field as much as other programs would, and thus, he recorded a high scramble rate and time to throw. ","Very agile and elusive. Can pick up a lot of yards with his legs. Passing profile was much improved from 2022 to 2023. Threw with more confidence and accuracy. ","Small in every major area for the position — height, weight and hand size. Struggles to grip and control the ball due to his hand size. Negatively affects accuracy. UCF’s offense limited how much he read the field. Lacks true NFL arm strength. ","John Rhys Plumlee","Plumlee is a good athlete who will likely make his biggest NFL contributions as a receiver or a quarterback in special packages."
