url,player,school,position,scouting_report,strengths,weaknesses,bottom_line,comp
https://www.pff.com/news/draft-pff-2026-nfl-draft-guide-fernando-mendoza-indiana,Fernando Mendoza,NA,QB,"Mendoza, the grandson of Cuban immigrants, is a former three-star quarterback from Miami, Florida. A multi-sport athlete who also played tennis, he emerged as a natural leader early in his career, serving as a team captain from his sophomore through senior seasons. Mendoza was originally committed to Yale before flipping his commitment to Cal, where he redshirted before starting eight games in 2023 and 11 more in 2024. He transferred to Indiana ahead of the 2025 season and delivered one of the most remarkable campaigns in college football history, leading the Hoosiers to an undefeated national championship while capturing the Heisman Trophy as the program’s starting quarterback. At 6-foot-4½, Mendoza has adequate size for the NFL with a longer, slender frame and extended arm length. Despite that build, his throwing mechanics are clean and repeatable, producing a quick, snappy release. He generates strong velocity on short and intermediate throws, particularly outside the numbers, where he does his best work. Mendoza is the best back-shoulder thrower in the class, consistently winning with pre-snap recognition, coverage and leverage identification, precise timing and elite ball placement. His plus-accuracy throw rate led all draft-eligible quarterbacks. He was also highly effective under pressure and in third-and-long situations. Indiana’s offense limited his opportunities throwing over the intermediate middle of the field, and he has relatively few snaps under center, both of which will be areas of evaluation at the next level. And while Mendoza is not a true dual-threat quarterback, he has enough functional mobility to operate RPO concepts efficiently and pick up first downs with his legs when needed.","Adequate NFL frame (height and weight) | Good velocity on short and intermediate passes | The best back-shoulder passer in the class (NFL-caliber), with elite timing and placement. | Has some natural touch for sideline passes with extra air | Knows how to be patient with progressions | Has some excellent ball placement. He boasts the highest “perfect” accuracy percentage in the class at 36.7%. | Overall, he is an intelligent player. He avoids negatives, reads coverages and leverage, and he plays calmly under pressure | Good enough of an athlete to run some RPOs with effectiveness | Long arms, but he still has a snappy throwing motion","He has a good arm but not a great arm. He can get in trouble if he's throwing fade-away passes or is late on reads | Sack rate is on the higher side, but much improved in 2025 | He took just two total snaps under center in 2025","Mendoza doesn't have rare physical gifts, but his football IQ, football character and ball placement are top-class, making him worthy of a first-round selection as an early-impact projection and potential franchise quarterback.",Matt Ryan
https://www.pff.com/news/draft-pff-2026-nfl-draft-guide-ty-simpson-alabama,Ty Simpson,NA,QB,"Simpson is a former five-star quarterback from Martin, Tennessee, who was crowned the Tennessee Gatorade Player of the Year in 2021 as a senior, when he led his team to a state championship. He committed to Alabama, where he redshirted his first season, then spent the next two years as a backup behind Jalen Milroe. He finally got his chance to be the starter in 2025, with a mixed bag of results heading into the NFL. At around 6-foot-2 and 215 pounds, he is slightly on the smaller side versus NFL averages, but nothing in the outlier range. His arm strength is not lacking despite his size, as he has above-average overall arm talent. He is a decent athlete for some RPO and QB power work in the run game, and he shows some escapability. He can really rip passes between zone coverages, especially over the middle of the field, where he is at his best — though he does flirt with the line between a tight-window throw and a turnover-worthy play. There are plays where he steps up confidently in the pocket or hangs tough long enough to get to backside reads, but there are also snaps where he retreats too far backward or bails sooner than he needs to, making things worse. He has some really nice throws from an accuracy standpoint, but when he misses, he usually misses high. That could stem from a higher release and follow-through. The biggest issue for him is how he played under pressure. With 2025 being his first year as a full-time starter, he lacked the experience to consistently handle late post-snap coverage rotations and more exotic blitzes.",NA,NA,NA,NA
https://www.pff.com/news/draft-pff-2026-nfl-draft-guide-cade-klubnik-clemson,Cade Klubnik,NA,QB,"Klubnik was a former five-star quarterback from Austin, Texas, where he led Westlake High School to two consecutive state championships in 2020 and 2021, including a 2020 title win against Quinn Ewers. As a senior, he was named the All-American Bowl Player of the Year and MaxPreps Player of the Year and was the Gatorade Football Player of the Year for the state of Texas before committing to Clemson. He served as a backup in 2022 but has been the starter for the past three seasons. At about 6-foot-1 1/2 and around 205 pounds, he is small by NFL standards. He has good mobility, though it shows up more in escapability than true dual-threat ability. He is a natural touch passer who can layer throws between zone coverages, both in the pocket and off-platform. He also maintains sound fundamentals, which give him a repeatable throwing motion, though when he misses, his misses tend to be high. Overall, his arm talent is lacking. He can deliver pretty passes when things go right, but he can get into trouble if he is late to reads. He also had a difficult time seeing post-snap rotations — specifically from safeties — in 2025. He is generally good under pressure, but he can have bad panic moments that are back-breakers. His lack of pace on his passes shows up in his high turnover-worthy play rate over the middle of the field, and there are times when he has to stand and pass on his toes to see over the line. That said, he has been a leader and a winner at every stop of his football career.",NA,NA,NA,NA
https://www.pff.com/news/draft-pff-2026-nfl-draft-guide-garrett-nussmeier-lsu,Garrett Nussmeier,NA,QB,"Nussmeier, the son of longtime college and NFL coach Doug Nussmeier, was a four-star quarterback from Flower Mound, Texas, who committed to LSU out of high school. He redshirted his first season in 2021, then backed up Jayden Daniels in both 2022 and 2023. He started all 13 games in 2024 and, despite having some NFL interest, decided to return for one more year at LSU. Unfortunately, he wasn’t able to put his best foot forward, as he played through an abdominal tear suffered in the summer and ultimately appeared in just nine games. Nussmeier is small by NFL standards at 6-foot-2 and around 200 pounds. He’s a true gunslinger-type player who remains confident and fearless despite lacking some physical gifts. He loves to push the ball vertically, though he doesn’t have the strongest arm to make up for seeing things late. He also predetermines his reads too often and gets himself in trouble. He has a quick release and quick time to throw, stemming from growing up with a quarterback father and establishing good foundations for pre-snap reads and progression work, but it can also get him in trouble. He is willing to attack the middle of the field but has a high turnover-worthy play rate in the intermediate middle. Though he likes to make plays outside of structure, he lacks the physical ability to consistently be effective as a passer on the run.",NA,NA,NA,NA
https://www.pff.com/news/draft-pff-2026-nfl-draft-guide-carson-beck-miami-fl,Carson Beck,NA,QB,"Beck was a former four-star quarterback from Jacksonville, Florida. Before he was a standout football recruit, he nearly went the baseball route. He was offered a scholarship from South Carolina as a right-handed pitcher and first baseman as a ninth grader. In fact, he was initially committed to Florida to play baseball before shifting his focus to football. He won Mr. Football in Florida in 2018 after leading his team to a state title, and he was committed to play both football and baseball at Alabama before recommitting to Georgia. He wasn’t on campus during the COVID-shortened 2020 season and served as Stetson Bennett’s backup in 2021 and 2022. He then started at Georgia in 2023 and 2024 before transferring to Miami and leading his team to the national title game. At 6-foot-4 and 220 pounds, he has an adequate NFL build. He has mostly played from the shotgun, as is the case with most quarterbacks today, but has some experience under center. He has a smooth and clean throwing motion with generally good lower-body mechanics. This yields a decently high clean-accuracy score on short and intermediate routes, and he knows how to get through his first few progressions and feed passes between zones. He is not much of a mobility threat, and his play under pressure has been rough over the past two years. He also had surgery to repair a UCL tear late in 2024, and his arm did not look the same in 2025. His overall velocity was mediocre at best, and his deep passing beyond 40 yards was very unreliable and ineffective.",NA,NA,NA,NA
https://www.pff.com/news/draft-pff-2026-nfl-draft-guide-sawyer-robertson-baylor,Sawyer Robertson,NA,QB,"Robertson is a former four-star quarterback from Lubbock, Texas, who played both football and baseball in high school. He originally attended Mississippi State for two seasons before transferring to Baylor, where he was the starter for three years. He looks the part of an NFL quarterback at 6-foot-4 and 220 pounds and has the size and arm strength to rip it at the next level. However, his throwing mechanics — specifically in his lower body — are inconsistent and remain an issue. He has a wide, kick-style release in his follow-through from his baseball days, doesn’t always align his feet with his target and has a tendency to fade away on throws. All of that has yielded one of the highest uncatchable and inaccurate-pass percentages among 2026 quarterbacks. He’s not a dual-threat quarterback, but he can pick up some first downs with his legs. He has a lot of throws where he gives his receivers a chance to climb the ladder and win one-on-one, especially in vertical situations up the sideline or in the seam versus Cover 3. That approach gives him good grades versus man coverage, but he can struggle to assess the range of off-zone defenders on the outside. His grades and production also dipped significantly under pressure.",NA,NA,NA,NA
https://www.pff.com/news/draft-pff-2026-nfl-draft-guide-cole-payton-north-dakota-state-bison,Cole Payton,NA,QB,"Payton was a former two-star recruit in the 2021 class from Omaha, Nebraska, who won the Nebraska Gatorade Player of the Year award as a senior in 2020. He committed to North Dakota State, where he served as a backup quarterback and situational rushing option until his senior season, when he became the full-time starter. At 6-foot-3 and around 230 to 235 pounds, he has good size for the league. He is also an adequate pro athlete, not just for the position but for his size. His rushing ability and experience give him a good floor and ceiling as an RPO and QB power-type backfield player. As a passer, his grades and efficiency numbers are high, but you have to factor in how easy his situation was in 2025 on a very talented NDSU team that was typically more talented than its competition. He has a high time to throw, which stems from his rushing style but also from not being the quickest to read defenses pre- and post-snap. That has yielded a high sack rate despite his athleticism. He does have good overall arm talent that is adequate for the NFL. His throwing motion has a bit of a shotput-style finish, but his footwork and base are consistent and give him a strong drive on his passes.",NA,NA,NA,NA
https://www.pff.com/news/draft-pff-2026-nfl-draft-guide-diego-pavia-vanderbilt,Diego Pavia,NA,QB,"Pavia is the kind of player you wish could just play college ball forever. He’s the underdog everyone tunes in to see topple giants when his team has no business doing so. But when it comes to his pro projection, he’ll likely be viewed as a big underdog once again. He was a two-star quarterback from Albuquerque, New Mexico, who competed in wrestling, where he was a state champion, as well as baseball and football. He received no scholarship offers from any NCAA Division I school, and only two Division II schools — Western Colorado and Western New Mexico — offered him a chance to play quarterback. So he committed to play JUCO football at New Mexico Military Institute. He played two years at NMMI, winning an NJCAA national championship in 2021, then transferred to New Mexico State, where he won the 2023 Conference USA Offensive Player of the Year award. He transferred to Vanderbilt in 2024, starting 13 games and earning SEC Newcomer of the Year honors. He returned in 2025 and was a Heisman Trophy finalist. His smaller size, under 5-foot-10, is almost nonexistent in the NFL outside of Kyler Murray and Bryce Young — but he isn’t the runner Murray is and isn’t the passer Bryce was at Alabama. What he does have going for him is experience as an RPO and option quarterback with a “never-say-die” ball-carrier mentality. He has improved as a passer over the past two seasons and specifically loves to give his receivers a chance outside the numbers against man coverage. He has decent zip on shorter passes but lacks the arm talent for a deep passing game. He also naturally struggles to see over the line of scrimmage, though his numbers over the middle of the field aren’t bad. He has very high passing grades on designed rollouts, though true scramble-drill plays aren’t as successful. He has a bit of a looping throwing motion, but his footwork is strong and consistent.",NA,NA,NA,NA
https://www.pff.com/news/draft-pff-2026-nfl-draft-guide-taylen-green-arkansas,Taylen Green,NA,QB,"Green was a three-star quarterback from Lewisville, Texas, where he not only played football but also broke the school record in the long jump in track and field. He committed to Boise State, where, after a redshirt season, he started for two years before transferring to Arkansas for his final two years of eligibility. His size will be alluring to general managers and head coaches. He is a legit athlete at just under 6-foot-6 and 225 pounds who rushed for more than 2,400 yards in his four seasons as a starter. He is a good rushing threat with experience in the pistol and shotgun as an RPO quarterback. As a passer, his athletic gifts show up in a naturally strong arm that can push the ball vertically. However, he is still far too inconsistent as a passer. His footwork is OK, but it can be erratic. Pair that with a longer, sidearm throwing motion, and you have a faulty foundation for accuracy, evidenced by lower accuracy and ball-placement scores. He also doesn’t have the passing numbers you’d expect under pressure or on the run. Despite being a good athlete, he has a high sack rate, in part due to an average time to throw well above 3.00 seconds.",NA,NA,NA,NA
https://www.pff.com/news/draft-pff-2026-nfl-draft-guide-jeremiyah-love-notre-dame,Jeremiyah Love,NA,HB,"Love, a former four-star back with a multi-sport background in track and basketball from St. Louis, Missouri, is a future impact NFL running back. First and foremost, he is an NFL-caliber athlete in every way you’d want, with speed, acceleration and agility that translate to both the run and pass game. His footwork is excellent and impressively quick, with good contact balance despite a larger frame than expected for his kind of speed. He is also a natural receiver. As more of a speed back, some of the power elements in his game can be inconsistent, but nothing glaring. As a blocker, he has some fundamental lapses, such as lunging and dipping his head, though he also shows some solid reps.",Acceleration and top speed are top-tier for the NFL | Incredibly impressive footwork with quickness and balance | Very quick processor in change-of-direction situations and on jukes | Determined running and blocking mentality | Very natural receiver out of the backfield,"Work between the tackles isn’t as impactful | Has moments in pass protection where he gets reckless, dipping his head and lunging with his shoulder","Simply put, Jeremiyah Love is what a first-round running back looks like: frame, athleticism, coordination and playmaker mentality. He brings true impact value in the running and passing games.",Jahmyr Gibbs
