"","position","name","college","overview","bottom_line"
"1","QB","Josh Allen","Wyoming","Top-notch velocity and ability to create downfield opportunities both off- platform and when throwing on the run. Makes spectacular plays outside the pocket and on the run. Almost looks more comfortable there. Posted the 3rd-highest grade in the draft class in the red-zone last season. Ranked 7th in the draft class in big-time throw percentage last season after posting the highest percentage in 2016. Must make better decisions. Ranked 28th in the draft class at avoiding turnover-worthy plays last season. Short-area accuracy is an issue and ranked 24th in the draft class in PFF grade on short (0-9-yard) passes. Had the 4th-highest percentage of negatively graded throws in the draft class last season.","Allen certainly looks the part with his frame, athleticism, and cannon, but there’s plenty of projection to his game. Even in a strong 2016 season, there were questions as to how well he can play within structure and in the short game, and that was before his performance took a step back in 2017. While the tools are tantalizing, and he can make the big-time throws necessary for the NFL, he must get better at handling the easy stuff, from working in the quick game to throwing with touch and accuracy to all levels of the field."
"2","QB","Kurt Benkert","Virginia","Loose arm creates easy velocity at all levels. Gets the ball down the field with ease. Posted the 4th-highest grade in the draft class in the red-zone. Ranked 36th out of 37 draft QBs in PFF grade when facing pressure. Ranked 30th out of 37 draft-eligible QBs at avoiding turnover-worthy plays last season. Ranked 35th in the draft class in adjusted completion percentage on deep (20-plus yard) throws (32.9 percent). Posted the 9th-highest percentage of negatively graded throws in the draft class last season. Throws well on the move, but he’s a backyard player outside the pocket. Can drop it in a bucket or zip it into a tight window, but also forces too many passes late in the down. Too many poor fumbles when trying to do too much outside the pocket. Tape is littered with well-placed bucket throws.","Benkert is another tools-first prospect who has to clean up the finer points of his game. He’ll make a few jaw-dropping throws down the field, either drop- ping them in a bucket or while on the move, but for every great throw there’s another poor decision in there as well. He’s a developmental prospect who must improve his accuracy and decision-making in order to succeed at the next level."
"3","QB","Sam Darnold","Usc","Excellent feel in the middle of the field. Throws with anticipation and knows how to throw receivers open against zone coverage. Posted the No. 2 grade on intermediate throws in 2016 but ranked only 23rd in the draft class last season. Ranked second in the draft class with a big-time throw percentage of 6.8. Throws well on the run, but will make a few ugly throws off-platform. Long throwing motion will get some publicity, but it’s not an issue when he’s playing confidently (2016). Was an issue at times last season, and there were some ugly fumbles on tape. Far too many poor decisions last season. Ranked 33rd out of 38 draft- class qualifiers at avoiding turnover-worthy throws. Tied for the 3rd-highest grade in the class on short (0-9-yard) passes. Still has work to do on the deep ball. Wasn’t great in 2016, ranked 22nd in adjusted completion percentage last season.","There’s plenty of concern after Darnold was much riskier with the ball in 2017, but his 2016 was one of the best seasons you’ll see from a redshirt freshman. Even during his slump, the high-end plays were still present, as few college quarterbacks possess Darnold’s anticipation and accuracy in the middle of the field. He must cut back on the turnover-worthy throws that littered his tape in 2017. His throwing motion, rightly or wrongly, will likely be dissected at the next level, but overall, Darnold’s top end play is worth a first-round investment."
"4","QB","Luke Falk","Washington St.","Efficient, quick release. Touch thrower. Arm strength is a question mark, especially outside the numbers. Will get through reads and throws efficiently in the short game. Had the 2nd-highest percentage of turnover-worthy throws on intermediate (10-19-yards) attempts. Ranked 33rd in the draft class in PFF grade on intermediate throws. Inflated stats coming out of Washington State passing scheme and rarely faced heavy pressure. When he did face pressure last year, was sacked on 25.5 percent of his drop backs, 4th-highest in the draft class. Ranked 33rd in the draft class in big-time throw percentage last season. Ranked 27th in the draft class at avoiding turnover-worthy plays. Was better in previous seasons. Can he get back to previous form?","Last season did not go as planned for Falk, who took a step back while battling through injury. Even at his best, his arm strength is a question mark, as he struggles to consistently drive the ball outside the numbers on out-breaking routes. He has good touch and feel for in the short game, but arm strength and athleticism issues raise enough questions that he can create enough big plays at the next level."
"5","QB","Riley Ferguson","Memphis","Good arm, can zip the ball into tight windows and get the ball down the field when off-platform. Had the 9th-highest percentage of positively graded throws last season. Had the 5th-best grade in the draft class on intermediate throws last season. Must improve his touch in the short game. Ranked only 31st in the draft class on deep passes last season. Falls off too many throws and gets himself into trouble. Ranked 24th in the draft class in PFF grade under pressure in 2017. Trusts his arm too much in the middle of the field. Led to his ranking 27th in the draft class at avoiding turnover-worthy throws last season.","Ferguson has good size and solid velocity, but he got away with far too many ill-advised passes last season despite throwing only nine interceptions. The tools are worth a look, as he’s capable of driving the ball down the field, but he trusts himself too much when throwing into tight windows and he must improve in the short game, where he posted the No. 20 grade in the draft class last season."
"6","QB","Lamar Jackson","Louisville","Ranked 14th out of 37 draft-eligible quarterbacks at avoiding turnover- worthy plays last season. Turnover-worthy plays contain far too many instances where Jackson mis-read or didn’t see underneath linebackers. Posted the No. 3 grade in the draft class when facing pressure. Had the 9th-highest grade in the draft class on intermediate (10-19-yard) throws last season. Good zip to make tight-window throws and solid touch to get the ball down the field. Accuracy is not great. Misses too many throws and ball location needs work on a throw-for-throw basis. Had 12th-highest percentage of negatively graded plays last season. Dynamic athlete. Rushed for 4,790 yards on 556 carries (8.7 yards/ attempt) during his three-year career.","While he’s not the cleanest passer in the class, Jackson has showed enough with his arm that he can make plays at the next level, and when paired with his incredible athleticism, there’s an offense to be built around Jackson’s game. He’ll miss his fair share of throws, but he can make up for it with enough arm to make special throws downfield. It may take a creative offensive mind, but Jackson can be an exceptional option in the designed run game while opening up bigger pass windows to ease the burden of his inconsistent accuracy."
"7","QB","Kyle Lauletta","Richmond","Quick setup and release. Average arm. Throws a few risky passes into tight coverage. Quick decision-maker. Excellent feel for throwing in the middle of the field. Completed 40-of-52 passes (76.9 percent) at the intermediate (10-19 yard) level in between the numbers. Had an outstanding week at the Senior Bowl. Posted the top grade among QBs in 1-on-1 drills and graded well in both team drills and the game itself. Showed off excellent red-zone accuracy during Senior Bowl practice, regularly making tight window throws, including excellent touch on fades. Must improve deep ball. Ranked only 101st in the nation in adjusted completion percentage on the deep ball at 34.9 last season.","Lauletta vaulted toward the top of the class behind a strong week at the Senior Bowl, but it was really just confirmation of what he showed on film at Rich- mond. His middle-of-the-field feel gives him a chance to succeed, though he must improve his downfield accuracy in order to take the next step. Lauletta’s short and intermediate accuracy make him a worthwhile mid-round selection and we’ve seen quarterbacks improve their deep ball in the NFL, making him strong in the right areas for a transition to the next level."
"8","QB","Tanner Lee","Nebraska","Has the zip to fire the ball into tight windows. Throws off balance far too often. Ranked 36th out of 37 draft-eligible quarterbacks at avoiding turnover- worthy plays last season. Had the No. 35 PFF grade on third and fourth down. Throws far too many ill-advised passes. Had the 2nd-highest percentage of turnover-worthy plays in the draft class. Posted the 10th-highest percentage of negatively graded throws in the draft class last season. Had his struggles at the Senior Bowl, with the lowest PFF grade during 1-on-1 and team drills.","Lee catches the attention of scouts with good size and a solid arm, but there’s a lot of work to be done on the field. He fires far too many passes into coverage and his accuracy comes and goes. While the top-end plays are NFL caliber, Lee’s accuracy and decision-making are huge question marks and he’s a project at this stage in his development."
"9","QB","Chase Litton","Marshall","Unorthodox motion, but quick release. Despite quick release, does not create great power with his throwing motion. Will flutter too many passes, hurting his ability to complete passes into tight windows. Ranked 5th in the draft class in big-time throw percentage at 6.2 last season. Ranked 19th in the draft class at avoiding turnover-worthy plays at 3.82 percent. Had the 6th-highest percentage of negatively graded throws in the class. Sticks with his pre-snap read more often than not. Will throw with anticipation on “stick” throws outside the numbers. Posted the 12th-highest grade in the draft class on deep passes last season.","There’s some boom-or-bust to Litton’s game, as he can make special downfield throws into tight windows, but there’s also far too many poor decisions and missed throws on his film. He put together three solid years of production at Marshall, but never took the necessary next step to improve his accuracy and decision-making. Litton is still worth a look late in the draft, but the negatives must be ironed out in order to tap into his potential."
"10","QB","Baker Mayfield","Oklahoma","Unmatched career as far as on-field production. Posted the top two individual seasons in four years of PFF grading. Has plenty of arm to make tight-window throws, even off platform. Natural playmaker capable of creating big plays both within and outside of structure. Made plenty of NFL throws throughout his career, but production was also aided by favorable Oklahoma offense. Will hold the ball too long at times, inviting late pressure. Will need to play on rhythm more consistently at the next level. Led the nation with a passer rating of 139.9 when blitzed and also led at 135.7 when not blitzed. Posted highest grade in the nation both from a clean pocket, pressured. Led the draft class with a big-time throw percentage of 7.58 last season. Tied for the 5th-lowest percentage of turnover-worthy plays in the class.","At some point, Mayfield’s on-field production is too difficult to ignore and that’s what makes him a first-round talent. He has enough arm to make NFL throws and he’s shown the ability to make plays both within and outside of structure. While he could stand to speed up his process on certain plays, May- field’s accuracy, decision-making and natural playmaking ability make him the best quarterback in the draft, and only a few inches of height have instilled doubt in NFL decision-makers."
